,stock_n,year,brand,model,price
0,16237735,2013,Audi,A5 Premium,21998.0
1,16237784,2014,Audi,A5 Premium Plus,22998.0
2,16238238,2013,Audi,Q5 Premium Plus,26998.0
3,15411470,2013,Audi,RS5,41998.0
4,15952558,2015,BMW,X4 XDrive35i,34998.0
5,16568229,2013,Cadillac,ATS Premium,21998.0
6,16238577,2012,Cadillac,CTS Luxury,16998.0
7,16171245,2012,Chevrolet,Avalanche 1500 LT,21998.0
8,16171094,2012,Chevrolet,Avalanche 1500 LTZ,27998.0
9,16237838,2017,Chevrolet,Camaro LT,25998.0
10,16250805,2017,Chevrolet,Camaro LT,24599.0
11,15594791,2012,Chevrolet,Captiva Sport LT,9998.0
12,16238375,2017,Chevrolet,Colorado Work Truck,19998.0
13,16250158,2016,Chevrolet,Colorado Work Truck,18998.0
14,16238203,2016,Chevrolet,Colorado Z71,35998.0
15,15880016,2012,Chevrolet,Equinox LS,13998.0
16,16568203,2015,Chevrolet,Malibu LS,12998.0
17,16568328,2015,Chevrolet,Malibu LS,13998.0
18,16250755,2016,Chevrolet,Silverado 1500 Work Truck,22599.0
19,16238159,2015,Chevrolet,Sonic LT,10998.0
20,16171364,2014,Chevrolet,Spark LS,8998.0
21,16339119,2017,Chevrolet,Spark LS,11998.0
22,15325916,2015,Chevrolet,Suburban 1500 LT,36998.0
23,16568253,2016,Chevrolet,Suburban 1500 LTZ,48998.0
24,16238414,2017,Chevrolet,Tahoe LT,42998.0
25,16237779,2016,Chevrolet,Tahoe LTZ,43998.0
26,16171118,2017,Chevrolet,Traverse LT,21998.0
27,16250130,2016,Chevrolet,Trax LS,14998.0
28,16421065,2015,Chevrolet,Volt,16599.0
29,16237594,2015,Chrysler,200 Limited,12998.0
30,16250208,2015,Chrysler,200 Limited,13998.0
31,16338495,2015,Chrysler,200 Limited,12599.0
32,15660943,2016,Dodge,Challenger R/T Scat Pack,34998.0
33,16250312,2017,Dodge,Challenger SXT PLUS,25998.0
34,16497033,2015,Dodge,Charger SE,17998.0
35,16257029,2013,Dodge,Dart Aero,9998.0
36,16250436,2015,Dodge,Dart GT,14998.0
37,16171269,2017,Dodge,Durango SXT,27998.0
38,16238712,2013,Dodge,Journey SE,14998.0
39,16237691,2015,Dodge,Ram 1500 Tradesman,16998.0
40,16250279,2017,Fiat,124 Spider Classica,20998.0
41,16237396,2013,Fiat,500 Pop,8998.0
42,16238636,2013,Fiat,500 Sport,9998.0
43,16237966,2011,Ford,Edge Limited,17998.0
44,16171259,2008,Ford,Edge SE,12599.0
45,16597090,2017,Ford,Edge Titanium,24998.0
46,16170829,2014,Ford,Escape SE,16998.0
47,16238509,2018,Ford,Escape SEL,23998.0
48,16238213,2015,Ford,Explorer Limited,28998.0
49,16418320,2015,Ford,Explorer Limited,24998.0
50,16237735,2013,Audi,A5 Premium,21998.0
51,16237784,2014,Audi,A5 Premium Plus,22998.0
52,16238238,2013,Audi,Q5 Premium Plus,26998.0
53,15411470,2013,Audi,RS5,41998.0
54,15952558,2015,BMW,X4 XDrive35i,34998.0
55,16568229,2013,Cadillac,ATS Premium,21998.0
56,16238577,2012,Cadillac,CTS Luxury,16998.0
57,16171245,2012,Chevrolet,Avalanche 1500 LT,21998.0
58,16171094,2012,Chevrolet,Avalanche 1500 LTZ,27998.0
59,16237838,2017,Chevrolet,Camaro LT,25998.0
60,16250805,2017,Chevrolet,Camaro LT,24599.0
61,15594791,2012,Chevrolet,Captiva Sport LT,9998.0
62,16238375,2017,Chevrolet,Colorado Work Truck,19998.0
63,16250158,2016,Chevrolet,Colorado Work Truck,18998.0
64,16238203,2016,Chevrolet,Colorado Z71,35998.0
65,15880016,2012,Chevrolet,Equinox LS,13998.0
66,16568203,2015,Chevrolet,Malibu LS,12998.0
67,16568328,2015,Chevrolet,Malibu LS,13998.0
68,16250755,2016,Chevrolet,Silverado 1500 Work Truck,22599.0
69,16238159,2015,Chevrolet,Sonic LT,10998.0
70,16171364,2014,Chevrolet,Spark LS,8998.0
71,16339119,2017,Chevrolet,Spark LS,11998.0
72,15325916,2015,Chevrolet,Suburban 1500 LT,36998.0
73,16568253,2016,Chevrolet,Suburban 1500 LTZ,48998.0
