,stock_n,year,brand,model,price,mileage,interior_color,exterior_color,drive_type,engine_size,num_cylinders,hp,comp_ratio,cam_shaft,engine_type,bore,stroke,values_per_cylinder,wheel_base,length,width,height,curb_weight,leg_room,head_room,seating_cap,cargo_cap,city_mpg,hw_mpg
0,16568245,2016,Acura,ILX,19998.0,31000,Black,Black,2,2.4,4,201,12:1,Variable Timing,Gas,3.43,3.9,4.0,105.1,181.9,70.0,55.0,2970,42.3,38.0,5,12.0,25,35
1,16238238,2013,Audi,Q5 Premium Plus,26998.0,48000,Black,Gray,4,3.0,6,272,10:1,Dual Overhead Cam,Turbo Gas,3.33,3.5,0.0,110.5,182.6,74.0,65.0,4345,41.0,38.1,5,57.0,18,26
2,15411470,2013,Audi,RS5,41998.0,37000,Black,White,4,4.2,8,450,13:1,Dual Overhead Cam,Gas,3.33,3.65,0.0,108.3,183.0,73.0,53.0,3924,41.3,39.1,4,12.0,16,23
3,15660515,2011,Audi,TTS Prestige,22998.0,41000,Black,Orange,4,2.0,4,265,9.8:1,Dual Overhead Cam,Turbo Gas,3.25,3.65,4.0,97.2,165.3,72.0,53.0,3241,41.1,37.7,4,13.0,21,29
4,16238171,2015,BMW,320 XI,20998.0,14000,Tan,Red,4,2.0,4,180,11:1,Variable Timing DOHC,Turbo Gas,3.31,3.55,4.0,110.6,182.1,71.0,56.0,3450,42.0,40.3,5,17.0,23,35
5,16261191,2016,BMW,428 I,28998.0,35000,Black,White,2,2.0,4,240,10:1,Variable Timing,Turbo Gas,3.31,3.55,4.0,110.6,182.6,71.0,54.0,3975,42.2,40.4,4,13.0,23,34
6,14366077,2014,BMW,535 d,22599.0,59000,Black,Gray,2,3.0,6,255,17:1,Variable Timing DOHC,Turbo Diesel,3.3,3.5,4.0,116.9,193.1,73.0,57.0,4068,41.4,40.5,5,14.0,26,38
7,16156147,2015,BMW,750 I,37998.0,40000,Tan,White,2,4.4,8,445,10:1,Variable Timing DOHC,Turbo Gas,3.5,3.48,4.0,120.9,200.0,74.0,57.0,4575,41.3,40.6,5,18.0,17,25
8,15952558,2015,BMW,X4 XDrive35i,34998.0,34000,Black,Blue,4,3.0,6,300,10:1,Variable Timing DOHC,Turbo Gas,3.31,3.53,4.0,110.6,183.9,74.0,63.0,4222,,39.9,5,18.0,19,27
9,16237838,2017,Chevrolet,Camaro LT,25998.0,6000,Black,Blue,2,2.0,4,275,9.50,Variable Timing,Turbo Gas,3.39,3.39,4.0,110.7,188.3,74.7,53.1,3738,43.9,38.5,4,9.1,20,30
10,16250158,2016,Chevrolet,Colorado Work Truck,18998.0,24000,Gray,White,2,2.5,4,200,11:1,Variable Timing,Gas,3.46,3.98,4.0,128.3,212.7,74.0,70.0,3960,45.0,41.4,4,,20,26
11,16237569,2014,Chevrolet,Cruze Diesel,13599.0,43000,Black,Blue,2,2.0,4,151,17:1,DOHC,Turbo Diesel,3.39,3.39,4.0,105.7,181.0,70.0,58.0,3475,42.3,39.3,5,13.0,27,46
12,15880016,2012,Chevrolet,Equinox LS,13998.0,88000,Black,Silver,4,2.4,4,182,11:1,Dual Overhead Cam,Ethanol/Gas,3.46,3.85,4.0,112.5,187.8,,66.0,3926,41.2,40.9,5,64.0,20,29
13,16238032,2016,Chevrolet,Equinox LT,18998.0,38000,Black,White,4,2.4,4,182,11:1,Variable Timing,Ethanol/Gas,3.46,3.86,4.0,112.5,187.8,72.0,66.0,3924,41.2,40.9,5,31.0,20,28
14,16568203,2015,Chevrolet,Malibu LS,13599.0,39000,Black,White,2,2.5,4,196,11:1,Variable Timing DOHC,Gas,3.46,3.98,4.0,107.8,191.5,73.0,57.0,3393,42.1,39.0,5,16.0,25,36
15,16593493,2016,Chevrolet,Malibu LS,15998.0,20000,Black,Burgundy,2,1.5,4,160,10:1,Variable Timing,Turbo Gas,2.91,3.41,4.0,111.4,193.8,73.0,57.0,3097,42.0,39.1,5,16.0,27,36
16,16238159,2015,Chevrolet,Sonic LT,10998.0,50000,Black,Gray,2,1.8,4,138,11:1,Variable Timing DOHC,Gas,3.17,3.47,4.0,99.4,173.1,68.0,59.0,2745,41.8,38.7,5,15.0,25,35
17,16171364,2014,Chevrolet,Spark LS,8998.0,54000,Black,Red,2,1.2,4,84,11:1,Variable Timing DOHC,Gas,2.78,3.15,4.0,93.5,144.7,62.0,61.0,2269,42.0,39.4,4,11.0,31,39
18,16568253,2016,Chevrolet,Suburban 1500 LTZ,48998.0,37000,Black,White,4,5.3,8,355,11:1,Variable Timing,Ethanol/Gas,3.78,3.62,2.0,130.0,224.4,80.0,74.0,5775,45.3,42.8,7,39.0,15,22
19,16238414,2017,Chevrolet,Tahoe LT,42998.0,33000,Black,Silver,4,5.3,8,355,11.00,Variable Timing,Ethanol/Gas,3.78,3.62,2.0,116.0,204.0,80.5,74.4,5602,45.3,42.8,8,15.3,16,22
20,16171118,2017,Chevrolet,Traverse LT,21998.0,62000,Gray,Silver,2,3.6,6,281,11.30,Variable Timing,Gas,3.7,3.37,4.0,118.9,203.7,78.5,69.9,4713,41.3,40.4,8,24.4,15,22
21,16250130,2016,Chevrolet,Trax LS,14998.0,17000,Black,Gray,2,1.4,4,138,9.5:1,Variable Timing,Turbo Gas,2.85,3.25,4.0,100.6,167.2,69.0,65.0,3048,40.8,39.6,5,19.0,26,34
22,16421065,2015,Chevrolet,Volt,16599.0,18000,Tan,Gray,2,1.4,4,149,11:1,Variable Timing DOHC,Gas/Electric,2.89,3.25,4.0,105.7,177.1,70.0,56.0,3786,42.1,37.8,4,11.0,35,40
23,16250436,2015,Dodge,Dart GT,14998.0,45000,Black,Blue,2,2.4,4,184,10:1,Variable Timing OHC,Gas,3.46,3.82,4.0,106.4,183.9,72.0,57.0,3297,42.2,38.6,5,13.0,22,31
24,16171269,2017,Dodge,Durango SXT,27998.0,16000,Black,Black,4,3.6,6,295,10.20,Variable Timing,Gas,3.78,3.27,4.0,119.8,201.2,75.8,70.9,4913,40.3,39.9,7,47.7,18,25
25,16418170,2015,Dodge,Ram 1500 Sport,31998.0,45000,Black,White,2,5.7,8,395,11:1,Variable Timing OHC,Gas,3.92,3.58,2.0,149.5,237.9,79.0,75.0,5301,41.0,41.0,5,,15,22
26,16237691,2015,Dodge,Ram 1500 Tradesman,16998.0,39000,Gray,White,2,5.7,8,395,10:1,Variable Timing OHC,Gas,3.92,3.58,2.0,120.5,209.0,79.0,74.0,4684,41.0,39.9,3,,14,20
27,16250279,2017,Fiat,124 Spider Classica,20998.0,16000,Black,White,2,1.4,4,160,9.80,Variable Timing,Turbo Gas,2.83,3.31,4.0,90.9,159.6,68.5,48.5,2436,43.1,37.4,2,4.9,26,35
28,16237396,2013,Fiat,500 Pop,8998.0,57000,Black,Gray,2,1.4,4,101,11:1,Single Overhead Cam,Gas,2.83,3.31,4.0,90.6,139.6,64.0,59.0,2416,40.7,38.6,4,5.0,27,34
29,16238636,2013,Fiat,500 Sport,9998.0,46000,Black,Red,2,1.4,4,101,11:1,Single Overhead Cam,Gas,2.83,3.31,4.0,90.6,139.6,64.0,59.0,2363,40.7,38.9,4,10.0,27,34
30,15660974,2016,Ford,C-Max SEL,17998.0,24000,Black,Black,2,2.0,4,188,12:1,Variable Timing,Gas/Electric,3.44,3.27,4.0,104.3,173.6,72.0,63.0,3607,40.4,41.0,5,19.0,41,36
31,16237883,2014,Ford,C-Max SEL,14998.0,43000,Black,Gray,2,2.0,4,188,12:1,Variable Timing DOHC,Gas/Electric,3.44,3.27,4.0,104.3,173.6,72.0,63.0,3986,43.1,41.0,5,25.0,42,37
