,price,year,mileage,drive_type,engine_size,num_cylinders,hp,comp_ratio,bore,stroke,values_per_cylinder,wheel_base,length,width,height,curb_weight,leg_room,head_room,seating_cap,cargo_cap,city_mpg,hw_mpg,luxury,black_interior,dark_exterior,light_exterior,prime_exterior,normal_engine,turbo_engine,alternate_engine
0,19998.0,2016,31000,2,2.4,4,201,12.0,3.43,3.9,4.0,105.1,181.9,70.0,55.0,2970,42.3,38.0,5,12.0,25,35,1,1,1,0,0,1,0,0
1,26998.0,2013,48000,4,3.0,6,272,10.0,3.33,3.5,0.0,110.5,182.6,74.0,65.0,4345,41.0,38.1,5,57.0,18,26,1,1,1,0,0,0,1,0
2,41998.0,2013,37000,4,4.2,8,450,13.0,3.33,3.65,0.0,108.3,183.0,73.0,53.0,3924,41.3,39.1,4,12.0,16,23,1,1,0,1,0,1,0,0
3,22998.0,2011,41000,4,2.0,4,265,9.8,3.25,3.65,4.0,97.2,165.3,72.0,53.0,3241,41.1,37.7,4,13.0,21,29,1,1,0,0,1,0,1,0
4,20998.0,2015,14000,4,2.0,4,180,11.0,3.31,3.55,4.0,110.6,182.1,71.0,56.0,3450,42.0,40.3,5,17.0,23,35,1,0,0,0,1,0,1,0
5,28998.0,2016,35000,2,2.0,4,240,10.0,3.31,3.55,4.0,110.6,182.6,71.0,54.0,3975,42.2,40.4,4,13.0,23,34,1,1,0,1,0,0,1,0
6,22599.0,2014,59000,2,3.0,6,255,17.0,3.3,3.5,4.0,116.9,193.1,73.0,57.0,4068,41.4,40.5,5,14.0,26,38,1,1,1,0,0,0,1,0
7,37998.0,2015,40000,2,4.4,8,445,10.0,3.5,3.48,4.0,120.9,200.0,74.0,57.0,4575,41.3,40.6,5,18.0,17,25,1,0,0,1,0,0,1,0
8,34998.0,2015,34000,4,3.0,6,300,10.0,3.31,3.53,4.0,110.6,183.9,74.0,63.0,4222,,39.9,5,18.0,19,27,1,1,0,0,1,0,1,0
9,25998.0,2017,6000,2,2.0,4,275,9.5,3.39,3.39,4.0,110.7,188.3,74.7,53.1,3738,43.9,38.5,4,9.1,20,30,0,1,0,0,1,0,1,0
10,18998.0,2016,24000,2,2.5,4,200,11.0,3.46,3.98,4.0,128.3,212.7,74.0,70.0,3960,45.0,41.4,4,,20,26,0,0,0,1,0,1,0,0
11,13599.0,2014,43000,2,2.0,4,151,17.0,3.39,3.39,4.0,105.7,181.0,70.0,58.0,3475,42.3,39.3,5,13.0,27,46,0,1,0,0,1,0,1,0
12,13998.0,2012,88000,4,2.4,4,182,11.0,3.46,3.85,4.0,112.5,187.8,,66.0,3926,41.2,40.9,5,64.0,20,29,0,1,0,1,0,0,0,1
13,18998.0,2016,38000,4,2.4,4,182,11.0,3.46,3.86,4.0,112.5,187.8,72.0,66.0,3924,41.2,40.9,5,31.0,20,28,0,1,0,1,0,0,0,1
14,13599.0,2015,39000,2,2.5,4,196,11.0,3.46,3.98,4.0,107.8,191.5,73.0,57.0,3393,42.1,39.0,5,16.0,25,36,0,1,0,1,0,1,0,0
15,15998.0,2016,20000,2,1.5,4,160,10.0,2.91,3.41,4.0,111.4,193.8,73.0,57.0,3097,42.0,39.1,5,16.0,27,36,0,1,0,0,1,0,1,0
16,10998.0,2015,50000,2,1.8,4,138,11.0,3.17,3.47,4.0,99.4,173.1,68.0,59.0,2745,41.8,38.7,5,15.0,25,35,0,1,1,0,0,1,0,0
17,8998.0,2014,54000,2,1.2,4,84,11.0,2.78,3.15,4.0,93.5,144.7,62.0,61.0,2269,42.0,39.4,4,11.0,31,39,0,1,0,0,1,1,0,0
18,48998.0,2016,37000,4,5.3,8,355,11.0,3.78,3.62,2.0,130.0,224.4,80.0,74.0,5775,45.3,42.8,7,39.0,15,22,0,1,0,1,0,0,0,1
19,42998.0,2017,33000,4,5.3,8,355,11.0,3.78,3.62,2.0,116.0,204.0,80.5,74.4,5602,45.3,42.8,8,15.3,16,22,0,1,0,1,0,0,0,1
20,21998.0,2017,62000,2,3.6,6,281,11.3,3.7,3.37,4.0,118.9,203.7,78.5,69.9,4713,41.3,40.4,8,24.4,15,22,0,0,0,1,0,1,0,0
21,14998.0,2016,17000,2,1.4,4,138,9.5,2.85,3.25,4.0,100.6,167.2,69.0,65.0,3048,40.8,39.6,5,19.0,26,34,0,1,1,0,0,0,1,0
22,16599.0,2015,18000,2,1.4,4,149,11.0,2.89,3.25,4.0,105.7,177.1,70.0,56.0,3786,42.1,37.8,4,11.0,35,40,0,0,1,0,0,0,0,1
23,14998.0,2015,45000,2,2.4,4,184,10.0,3.46,3.82,4.0,106.4,183.9,72.0,57.0,3297,42.2,38.6,5,13.0,22,31,0,1,0,0,1,1,0,0
24,27998.0,2017,16000,4,3.6,6,295,10.2,3.78,3.27,4.0,119.8,201.2,75.8,70.9,4913,40.3,39.9,7,47.7,18,25,0,1,1,0,0,1,0,0
25,31998.0,2015,45000,2,5.7,8,395,11.0,3.92,3.58,2.0,149.5,237.9,79.0,75.0,5301,41.0,41.0,5,,15,22,0,1,0,1,0,1,0,0
