,stock_n,year,brand,model,price
0,16338689,2012,Honda,Accord EX-L,14998.0
1,16005669,2017,Honda,Accord LX-S,20998.0
2,16238292,2015,Honda,Accord Sport,16998.0
3,16238355,2017,Honda,Accord Sport SE,22998.0
4,16238739,2017,Honda,Accord Hybrid,22998.0
5,16338758,2014,Honda,Accord Hybrid,18998.0
6,15574085,2007,Honda,Civic EX,9599.0
7,16338977,2012,Honda,Civic EX-L,13998.0
8,15416530,2017,Honda,Civic EX-T,21998.0
9,16004371,2016,Honda,Civic EX-T,19998.0
10,16338849,2017,Honda,Civic LX,19998.0
11,16338883,2016,Honda,Civic Touring,21998.0
12,16338424,2015,Honda,Fit LX,12998.0
13,16338567,2015,Honda,Fit LX,13998.0
14,16339150,2010,Honda,Fit Sport,15998.0
15,16250062,2013,Honda,Odyssey EX-L,19998.0
16,15660485,2012,Hyundai,Accent GLS,8998.0
17,15777832,2013,Hyundai,Elantra GLS,12998.0
18,16339027,2013,Hyundai,Elantra GLS,12998.0
19,16327428,2015,Hyundai,Elantra Limited,14998.0
20,15832043,2017,Hyundai,Elantra SE,14998.0
21,16217682,2016,Hyundai,Elantra SE,12998.0
22,16338989,2016,Hyundai,Elantra SE,13599.0
23,16418155,2015,Hyundai,Elantra SE,13998.0
24,16450485,2014,Hyundai,Elantra SE,11998.0
25,16450764,2018,Hyundai,Elantra SE,15998.0
26,16451026,2017,Hyundai,Elantra SE,15998.0
27,16238068,2017,Hyundai,Santa Fe Sport,19998.0
28,16004748,2011,Hyundai,Sonata GLS,9998.0
29,16004769,2011,Hyundai,Sonata GLS,9599.0
30,16327583,2015,Hyundai,Sonata Limited,17998.0
31,16593750,2015,Hyundai,Sonata SE,13998.0
32,16238735,2013,Hyundai,Veloster Turbo,13599.0
33,16338734,2013,Hyundai,Veloster Turbo,15998.0
34,16338670,2009,Infiniti,FX35,15998.0
35,16450543,2008,Infiniti,G35 X,12599.0
36,16238843,2015,Infiniti,Q40,18998.0
37,15777442,2014,Infiniti,Q50 Premium,22998.0
38,16005592,2015,Infiniti,Q50 Premium,24599.0
39,16238241,2015,Infiniti,Q50,23599.0
40,16338681,2014,Infiniti,QX60,31998.0
