,stock_n,mileage,interior_color,exterior_color,drive_type,engine_size,num_cylinders,hp,torque,comp_ratio,cam_shaft,engine_type,bore,stroke,values_per_cylinder,fuel_cap,epa_mpg,wheel_base,length,width,height,curb_weight,leg_room,head_room,seating_cap,cargo_cap,tow_cap,pay_cap,gross,tire,trans
0,16338689,73K,Black,Black,2WDWD,3.5L engine,6 cylinders,271 horsepower@6000rpm,254 torque@5000rpm,11:1,Single Overhead Cam,Gas,3.50,3.66,4,N/A,17/26,"107.9""","191.0""",N/R,56,3410 lbs.,"42.2""","37.4""",5/5,12 cu. ft.,1000 lbs.,850 lbs.,4475 lbs.,N/A,5-Speed Automatic
1,16005669,5K,Black,Blue,2WDWD,2.4L engine,4 cylinders,185 horsepower@6400rpm,N/A,11.10,Variable Timing,Gas,3.43,3.90,4,N/A,27/36,107.3'',189.5'',73.0'',56.5'',3248 lbs.,42.2'',39.0'',5/5,13.7 cu. ft.,N/A,N/A,N/A,N/A,N/A
2,16238292,40K,Black,Red,2WDWD,2.4L engine,4 cylinders,189 horsepower@6400rpm,182 torque@3900rpm,11:1,Variable Timing DOHC,Gas,3.43,3.90,4,N/A,27/36,"109.3""","191.4""",72,57,3342 lbs.,"42.5""","39.1""",5/5,16 cu. ft.,N/A,N/A,N/R,N/A,N/A
3,16238355,21K,Black,Black,2WDWD,2.4L engine,4 cylinders,189 horsepower@6400rpm,N/A,11.10,Variable Timing,Gas,3.43,3.90,4,N/A,27/36,109.3'',192.5'',72.8'',57.7'',3369 lbs.,42.5'',39.1'',5/5,15.8 cu. ft.,N/A,N/A,N/A,N/A,N/A
4,16238739,23K,Tan,Blue,2WDWD,2.0L engine,4 cylinders,212 horsepower@6200rpm,N/A,13.00,Variable Timing,Gas/Electric,3.19,3.81,4,N/A,49/47,109.3'',194.1'',72.8'',57.5'',3550 lbs.,42.5'',39.5'',5/5,13.5 cu. ft.,N/A,N/A,N/A,N/A,N/A
5,16338758,59K,Gray,Silver,2WDWD,2.0L engine,4 cylinders,196 horsepower@6200rpm,122 torque@3500rpm,13:1,Variable Timing DOHC,Gas/Electric,3.19,3.81,4,N/A,50/45,"109.3""","192.2""",72,57,3336 lbs.,"42.5""","39.1""",5/5,13 cu. ft.,N/A,N/A,N/R,N/A,N/A
6,15574085,112K,Black,Black,2WDWD,1.8L engine,4 cylinders,140 horsepower@6300rpm,128 torque@4300rpm,11:1,Single Overhead Cam,Gas,3.19,3.44,4,13.20,25/36,"104.3""","174.8""",68,53,2769 lbs.,"42.6""","37.8""",5/5,12 cu. ft.,N/A,N/A,N/R,N/A,N/A
7,16338977,54K,Gray,Gray,2WDWD,1.8L engine,4 cylinders,140 horsepower@6500rpm,128 torque@4300rpm,11:1,Single Overhead Cam,Gas,3.19,3.44,4,N/A,28/39,"105.1""","177.3""",N/R,56,2773 lbs.,"42.0""","37.9""",5/5,13 cu. ft.,N/A,850 lbs.,N/R,N/A,4-Speed Automatic
8,15416530,6K,n/a,Blue,2WDWD,1.5L engine,4 cylinders,174 horsepower@6000rpm,N/A,10.60,Variable Timing,Turbo Gas,2.87,3.52,4,N/A,32/42,106.3'',182.3'',70.8'',55.7'',2899 lbs.,42.3'',37.5'',5/5,15.1 cu. ft.,N/A,N/A,N/A,N/A,N/A
9,16004371,14K,Gray,Silver,2WDWD,1.5L engine,4 cylinders,174 horsepower@6000rpm,162 torque@1700rpm,11:1,Variable Timing,Turbo Gas,2.87,3.52,4,N/A,31/41,"106.3""","176.9""",70,54,2889 lbs.,"42.3""","36.5""",5/5,12 cu. ft.,N/A,N/A,N/R,N/A,N/A
10,16338849,18K,Black,Silver,2WDWD,1.5L engine,4 cylinders,174 horsepower@6000rpm,N/A,10.60,Variable Timing,Turbo Gas,2.87,3.52,4,N/A,31/40,106.3'',177.9'',70.8'',56.5'',2751 lbs.,42.3'',39.3'',5/5,25.7 cu. ft.,N/A,N/A,N/A,N/A,N/A
11,16338883,35K,Tan,Black,2WDWD,1.5L engine,4 cylinders,174 horsepower@6000rpm,162 torque@1700rpm,11:1,Variable Timing,Turbo Gas,2.87,3.52,4,N/A,31/42,"106.3""","182.3""",70,55,2923 lbs.,"42.3""","37.5""",5/5,15 cu. ft.,N/A,N/A,N/R,N/A,N/A
12,16338424,61K,Black,Black,2WDWD,1.5L engine,4 cylinders,130 horsepower@6600rpm,114 torque@4600rpm,12:1,Variable Timing DOHC,Gas,2.87,3.52,4,N/A,29/37,"99.6""","160.0""",67,60,2513 lbs.,"41.4""","39.5""",5/5,17 cu. ft.,N/A,N/A,N/R,N/A,N/A
13,16338567,57K,Black,Silver,2WDWD,1.5L engine,4 cylinders,130 horsepower@6600rpm,114 torque@4600rpm,12:1,Variable Timing DOHC,Gas,2.87,3.52,4,N/A,33/41,"99.6""","160.0""",67,60,2544 lbs.,"41.4""","39.5""",5/5,17 cu. ft.,N/A,N/A,N/R,N/A,N/A
14,16339150,4K,Black,Silver,2WDWD,1.5L engine,4 cylinders,117 horsepower@6600rpm,106 torque@4800rpm,10:1,Single Overhead Cam,Gas,2.87,3.52,4,N/A,28/35,"98.4""","161.6""",66,60,2615 lbs.,"41.3""","40.4""",5/5,21 cu. ft.,N/A,850 lbs.,N/R,N/A,5-Speed Automatic
15,16250062,75K,Gray,White,2WDWD,3.5L engine,6 cylinders,248 horsepower@5700rpm,250 torque@4800rpm,11:1,Single Overhead Cam,Gas,3.50,3.66,4,N/A,18/27,"118.1""","202.9""",N/R,68,4483 lbs.,"40.9""","38.3""",8/8,149 cu. ft.,3500 lbs.,1322 lbs.,6019 lbs.,N/A,N/A
16,15660485,104K,Gray,Gray,2WDWD,1.6L engine,4 cylinders,138 horsepower@6300rpm,123 torque@4850rpm,11:1,Dual Overhead Cam,Gas,3.03,3.36,4,N/A,28/37,"101.2""","172.0""",66,57,2463 lbs.,"41.8""","39.9""",5/5,14 cu. ft.,N/A,N/A,3638 lbs.,N/A,N/A
17,15777832,40K,Gray,Black,2WDWD,1.8L engine,4 cylinders,148 horsepower@6500rpm,131 torque@4700rpm,10:1,Dual Overhead Cam,Gas,3.19,3.43,4,N/A,28/38,"106.3""","178.3""",69,56,2701 lbs.,"43.6""","40.0""",5/5,15 cu. ft.,N/A,N/A,N/R,N/A,N/A
18,16339027,49K,Tan,Black,2WDWD,1.8L engine,4 cylinders,148 horsepower@6500rpm,131 torque@4700rpm,10:1,Dual Overhead Cam,Gas,3.19,3.43,4,N/A,28/38,"106.3""","178.3""",69,56,2701 lbs.,"43.6""","40.0""",5/5,15 cu. ft.,N/A,N/A,N/R,N/A,N/A
19,16327428,22K,Gray,Gray,2WDWD,1.8L engine,4 cylinders,145 horsepower@6500rpm,130 torque@4700rpm,10:1,Variable Timing DOHC,Gas,3.19,3.43,4,N/A,28/38,"106.3""","179.1""",69,56,2818 lbs.,"43.6""","40.0""",5/5,15 cu. ft.,N/A,N/A,N/R,N/A,N/A
20,15832043,15K,n/a,Gray,2WDWD,2.0L engine,4 cylinders,147 horsepower@6200rpm,N/A,12.50,Variable Timing,Gas,3.19,3.82,4,N/A,28/37,106.3'',179.9'',70.9'',56.5'',2818 lbs.,42.2'',38.8'',5/5,14.4 cu. ft.,N/A,N/A,N/A,N/A,N/A
21,16217682,9K,Gray,Silver,2WDWD,1.8L engine,4 cylinders,145 horsepower@6500rpm,130 torque@4700rpm,10:1,Variable Timing,Gas,3.19,3.43,4,N/A,27/36,"106.3""","179.1""",69,56,2773 lbs.,"43.6""","40.0""",5/5,15 cu. ft.,N/A,N/A,N/R,N/A,N/A
22,16338989,36K,Gray,Red,2WDWD,1.8L engine,4 cylinders,145 horsepower@6500rpm,130 torque@4700rpm,10:1,Variable Timing,Gas,3.19,3.43,4,N/A,28/37,"106.3""","179.1""",69,56,2818 lbs.,"43.6""","40.0""",5/5,15 cu. ft.,N/A,N/A,N/R,N/A,N/A
