,stock_n,year,brand,model,price
0,16568245,2016,Acura,ILX,19998.0
1,16237784,2014,Audi,A5 Premium Plus,23599.0
2,16238238,2013,Audi,Q5 Premium Plus,26998.0
3,15411470,2013,Audi,RS5,41998.0
4,15660515,2011,Audi,TTS Prestige,22998.0
5,16238171,2015,BMW,320 XI,20998.0
6,16261191,2016,BMW,428 I,28998.0
7,14366077,2014,BMW,535 d,22599.0
8,16156147,2015,BMW,750 I,37998.0
9,15952558,2015,BMW,X4 XDrive35i,34998.0
10,16238577,2012,Cadillac,CTS Luxury,16998.0
11,16237838,2017,Chevrolet,Camaro LT,25998.0
12,15594791,2012,Chevrolet,Captiva Sport LT,10599.0
13,16250158,2016,Chevrolet,Colorado Work Truck,18998.0
14,16237569,2014,Chevrolet,Cruze Diesel,13599.0
15,15880016,2012,Chevrolet,Equinox LS,13998.0
16,16238032,2016,Chevrolet,Equinox LT,18998.0
17,16171434,2014,Chevrolet,Impala LT,18998.0
18,16568203,2015,Chevrolet,Malibu LS,13599.0
19,16593493,2016,Chevrolet,Malibu LS,15998.0
20,16238159,2015,Chevrolet,Sonic LT,10998.0
21,16171364,2014,Chevrolet,Spark LS,8998.0
22,16568253,2016,Chevrolet,Suburban 1500 LTZ,48998.0
23,16238414,2017,Chevrolet,Tahoe LT,42998.0
24,16237779,2016,Chevrolet,Tahoe LTZ,43998.0
25,16171118,2017,Chevrolet,Traverse LT,21998.0
26,16250130,2016,Chevrolet,Trax LS,14998.0
27,16421065,2015,Chevrolet,Volt,16599.0
28,16237594,2015,Chrysler,200 Limited,12998.0
29,16250208,2015,Chrysler,200 Limited,13998.0
30,16338495,2015,Chrysler,200 Limited,12599.0
31,15660943,2016,Dodge,Challenger R/T Scat Pack,35998.0
32,16257029,2013,Dodge,Dart Aero,9998.0
33,16250436,2015,Dodge,Dart GT,14998.0
34,16171269,2017,Dodge,Durango SXT,27998.0
35,16238712,2013,Dodge,Journey SE,14998.0
36,16418170,2015,Dodge,Ram 1500 Sport,31998.0
37,16237691,2015,Dodge,Ram 1500 Tradesman,16998.0
38,16250279,2017,Fiat,124 Spider Classica,20998.0
39,16237396,2013,Fiat,500 Pop,8998.0
40,16238636,2013,Fiat,500 Sport,9998.0
41,15660974,2016,Ford,C-Max SEL,17998.0
42,16237883,2014,Ford,C-Max SEL,14998.0
43,16237966,2011,Ford,Edge Limited,18599.0
44,16171259,2008,Ford,Edge SE,12599.0
45,16170829,2014,Ford,Escape SE,16998.0
46,16238509,2018,Ford,Escape SEL,23998.0
47,16238213,2015,Ford,Explorer Limited,28998.0
48,16418320,2015,Ford,Explorer Limited,24998.0
49,16568246,2018,Ford,Explorer Sport,36998.0
50,16568245,2016,Acura,ILX,19998.0
51,16237784,2014,Audi,A5 Premium Plus,23599.0
52,16238238,2013,Audi,Q5 Premium Plus,26998.0
53,15411470,2013,Audi,RS5,41998.0
54,15660515,2011,Audi,TTS Prestige,22998.0
55,16238171,2015,BMW,320 XI,20998.0
56,16261191,2016,BMW,428 I,28998.0
57,14366077,2014,BMW,535 d,22599.0
58,16156147,2015,BMW,750 I,37998.0
59,15952558,2015,BMW,X4 XDrive35i,34998.0
60,16238577,2012,Cadillac,CTS Luxury,16998.0
61,16237838,2017,Chevrolet,Camaro LT,25998.0
62,15594791,2012,Chevrolet,Captiva Sport LT,10599.0
63,16250158,2016,Chevrolet,Colorado Work Truck,18998.0
64,16237569,2014,Chevrolet,Cruze Diesel,13599.0
65,15880016,2012,Chevrolet,Equinox LS,13998.0
66,16238032,2016,Chevrolet,Equinox LT,18998.0
67,16171434,2014,Chevrolet,Impala LT,18998.0
68,16568203,2015,Chevrolet,Malibu LS,13599.0
69,16593493,2016,Chevrolet,Malibu LS,15998.0
70,16238159,2015,Chevrolet,Sonic LT,10998.0
71,16171364,2014,Chevrolet,Spark LS,8998.0
72,16568253,2016,Chevrolet,Suburban 1500 LTZ,48998.0
73,16238414,2017,Chevrolet,Tahoe LT,42998.0
74,16237779,2016,Chevrolet,Tahoe LTZ,43998.0
75,16171118,2017,Chevrolet,Traverse LT,21998.0
