,stock_n,mileage,interior_color,exterior_color,drive_type,engine_size,num_cylinders,hp,torque,comp_ratio,cam_shaft,engine_type,bore,stroke,values_per_cylinder,fuel_cap,epa_mpg,wheel_base,length,width,height,curb_weight,leg_room,head_room,seating_cap,cargo_cap,tow_cap,pay_cap,gross,tire,trans
0,16568245,31K,Black,Black,2WDWD,2.4L engine,4 cylinders,201 horsepower@6800rpm,180 torque@3600rpm,12:1,Variable Timing,Gas,3.43,3.90,4,N/A,25/35,"105.1""","181.9""",70,55,2970 lbs.,"42.3""","38.0""",5/5,12 cu. ft.,N/A,N/A,N/R,N/A,N/A
1,16237784,40K,Gray,Blue,4WDWD,2.0L engine,4 cylinders,220 horsepower@4450rpm,N/A,N/A,Variable Timing DOHC,Turbo Gas,3.25,3.65,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,16238238,48K,Black,Gray,4WDWD,3.0L engine,6 cylinders,272 horsepower@4780rpm,295 torque@2150rpm,10:1,Dual Overhead Cam,Turbo Gas,3.33,3.50,0,N/A,18/26,"110.5""","182.6""",74,65,4345 lbs.,"41.0""","38.1""",5/5,57 cu. ft.,4400 lbs.,N/A,N/R,N/A,N/A
3,15411470,37K,Black,White,4WDWD,4.2L engine,8 cylinders,450 horsepower@8250rpm,317 torque@4000rpm,13:1,Dual Overhead Cam,Gas,3.33,3.65,0,N/A,16/23,"108.3""","183.0""",73,53,3924 lbs.,"41.3""","39.1""",4/4,12 cu. ft.,N/A,N/A,N/R,N/A,N/A
4,15660515,41K,Black,Orange,4WDWD,2.0L engine,4 cylinders,265 horsepower@6000rpm,258 torque@2500rpm,9.8:1,Dual Overhead Cam,Turbo Gas,3.25,3.65,4,N/A,21/29,"97.2""","165.3""",72,53,3241 lbs.,"41.1""","37.7""",4/4,13 cu. ft.,N/A,N/A,N/R,N/A,N/A
5,16238171,14K,Tan,Red,4WDWD,2.0L engine,4 cylinders,180 horsepower@5000rpm,200 torque@1250rpm,11:1,Variable Timing DOHC,Turbo Gas,3.31,3.55,4,N/A,23/35,"110.6""","182.1""",71,56,3450 lbs.,"42.0""","40.3""",5/5,17 cu. ft.,N/A,N/A,N/R,N/A,N/A
6,16261191,35K,Black,White,2WDWD,2.0L engine,4 cylinders,240 horsepower@5000rpm,255 torque@1250rpm,10:1,Variable Timing,Turbo Gas,3.31,3.55,4,N/A,23/34,"110.6""","182.6""",71,54,3975 lbs.,"42.2""","40.4""",4/4,13 cu. ft.,N/A,N/A,N/R,N/A,N/A
7,14366077,59K,Black,Gray,2WDWD,3.0L engine,6 cylinders,255 horsepower@4000rpm,413 torque@1500rpm,17:1,Variable Timing DOHC,Turbo Diesel,3.30,3.50,4,N/A,26/38,"116.9""","193.1""",73,57,4068 lbs.,"41.4""","40.5""",5/5,14 cu. ft.,N/A,N/A,N/R,N/A,N/A
8,16156147,40K,Tan,White,2WDWD,4.4L engine,8 cylinders,445 horsepower@5500rpm,480 torque@2000rpm,10:1,Variable Timing DOHC,Turbo Gas,3.50,3.48,4,N/A,17/25,"120.9""","200.0""",74,57,4575 lbs.,"41.3""","40.6""",5/5,18 cu. ft.,N/A,N/A,N/R,N/A,N/A
9,15952558,34K,Black,Blue,4WDWD,3.0L engine,6 cylinders,300 horsepower@5800rpm,300 torque@1200rpm,10:1,Variable Timing DOHC,Turbo Gas,3.31,3.53,4,N/A,19/27,"110.6""","183.9""",74,63,4222 lbs.,N/R,"39.9""",5/5,18 cu. ft.,N/A,N/A,5126 lbs.,N/A,N/A
